date,hour,day_of_week,month,is_weekend,is_holiday,season,temperature,rainfall,weather,promotion,local_event,previous_hour_customers,previous_day_customers,predicted_customers,actual_customers,walk_in_customers,online_reservations,takeaway_orders,delivery_orders,average_order_value,total_sales,kitchen_load,table_utilization,chef_count,waiter_count,cashier_count,cleaner_count,ingredient_chicken_kg,ingredient_rice_kg,ingredient_oil_l,ingredient_onion_kg,ingredient_tomato_kg,ingredient_cheese_kg,ingredient_milk_l,inventory_cost,supplier_delay_days,food_wastage_kg,customer_satisfaction,created_at,hour_sin,hour_cos,day_sin,day_cos,rolling_average_customers,moving_average_sales,customer_growth_rate,inventory_utilization,staff_efficiency,sales_per_customer
2024-01-01 00:00:00,14,0,1,False,True,Winter,24.1,1.3,Sunny,False,,185,80,143,141,60,23,26,32,365.43,53651.34,1.0,0.98,5,8,3,2,11.67,8.75,1.97,7.21,5.2,3.1,3.15,289.76,0.8,1.47,4.11,2024-01-01 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,1.0,83.93,31849.73,-0.2378,2.0,7.8333,380.51
2024-01-01 00:00:00,15,0,1,False,True,Winter,23.3,1.21,Sunny,False,,141,80,56,57,24,9,12,12,438.09,23624.42,0.605,0.412,2,4,1,1,4.65,5.09,0.83,2.69,1.98,1.87,1.25,125.27,0.9,1.27,3.95,2024-01-01 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,1.0,82.25,31335.64,-0.5957,2.0,7.125,414.46
2024-01-01 00:00:00,16,0,1,False,True,Winter,20.4,0.09,Cloudy,False,,57,80,69,64,24,13,13,14,308.36,20356.26,0.716,0.537,2,4,2,1,7.94,6.41,0.64,2.26,2.8,2.31,1.91,183.65,0.6,2.35,3.82,2024-01-01 16:00:00,-0.8660254037844385,-0.5000000000000004,0.0,1.0,81.18,30689.8,0.1228,2.0,7.1111,318.07
2024-01-01 00:00:00,17,0,1,False,True,Winter,19.9,2.35,Cloudy,False,,64,80,69,60,26,8,13,13,401.26,25333.15,0.674,0.465,2,4,1,1,6.2,3.63,0.86,1.96,1.98,2.34,1.76,148.84,1.0,2.04,3.75,2024-01-01 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,1.0,80.0,30392.21,-0.0625,2.0,7.5,422.22
2024-01-01 00:00:00,18,0,1,False,True,Winter,16.5,1.34,Sunny,False,,60,80,140,135,59,19,26,31,293.81,39978.67,1.0,0.98,4,8,3,2,13.64,8.89,1.22,7.13,5.46,2.97,2.2,306.38,1.4,2.36,3.9,2024-01-01 18:00:00,-1.0,-1.8369701987210297e-16,0.0,1.0,82.89,30896.76,1.25,2.0,7.9412,296.14
2024-01-01 00:00:00,19,0,1,False,True,Winter,16.3,0.11,Sunny,False,,135,80,210,203,92,38,41,32,370.3,70161.52,1.0,0.98,6,12,4,3,21.41,21.38,1.78,9.09,5.13,5.96,3.22,498.21,0.2,2.12,3.69,2024-01-01 19:00:00,-0.9659258262890684,0.2588190451025203,0.0,1.0,88.9,32860.0,0.5037,2.0,8.12,345.62
2024-01-01 00:00:00,20,0,1,False,True,Winter,16.8,3.93,Cloudy,False,,203,80,184,193,87,28,42,36,282.92,58708.69,1.0,0.98,6,11,4,3,21.55,21.16,1.64,9.0,9.5,5.88,4.72,514.08,1.4,1.76,3.77,2024-01-01 20:00:00,-0.8660254037844386,0.5000000000000001,0.0,1.0,93.86,34090.89,-0.0493,2.0,8.0417,304.19
2024-01-01 00:00:00,21,0,1,False,True,Winter,16.5,0.06,Cloudy,False,,193,80,145,146,62,23,26,35,391.29,55787.9,1.0,0.98,5,9,3,2,20.22,15.96,1.88,6.73,4.78,5.3,3.69,456.31,0.2,2.15,4.05,2024-01-01 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,1.0,96.23,35077.11,-0.2435,2.0,7.6842,382.11
2024-01-01 00:00:00,22,0,1,False,True,Winter,12.6,3.24,Cloudy,False,,146,80,30,30,13,5,5,7,422.59,12436.1,0.333,0.273,1,2,1,1,3.91,2.5,0.33,1.15,0.79,1.12,0.82,86.62,9.8,1.61,4.06,2024-01-01 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,1.0,93.35,34092.72,-0.7945,2.0,6.0,414.54
2024-01-01 00:00:00,23,0,1,False,True,Winter,13.5,0.72,Cloudy,False,,30,80,14,22,9,4,4,5,307.25,6945.06,0.24,0.18,1,2,1,1,2.45,2.26,0.26,1.03,1.03,0.62,0.37,57.73,0.0,1.74,4.21,2024-01-01 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,1.0,90.38,32961.57,-0.2667,2.0,4.4,315.68
2024-01-02 00:00:00,0,1,1,False,False,Winter,12.6,0.18,Sunny,False,,22,2169,13,23,9,4,4,6,403.36,9698.32,0.243,0.182,1,2,1,1,3.03,2.47,0.21,1.33,0.86,0.58,0.5,66.83,4.7,1.16,4.34,2024-01-02 00:00:00,0.0,1.0,0.7818314824680298,0.6234898018587336,90.04,32771.1,0.0455,2.0,4.6,421.67
2024-01-02 00:00:00,1,1,1,False,False,Winter,12.2,0.09,Cloudy,False,,23,2169,13,20,8,4,4,4,440.21,8342.61,0.182,0.15,1,2,1,1,1.8,1.48,0.18,0.65,0.56,0.58,0.36,42.38,0.5,1.88,4.22,2024-01-02 01:00:00,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,90.5,32967.44,-0.1304,2.0,4.0,417.13
2024-01-02 00:00:00,2,1,1,False,False,Winter,13.5,2.48,Cloudy,False,,20,2169,17,12,5,1,2,4,368.91,4415.96,0.119,0.1,1,2,1,1,1.29,1.17,0.1,0.45,0.51,0.45,0.27,30.91,0.9,1.62,3.97,2024-01-02 02:00:00,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,90.58,32927.52,-0.4,2.0,2.4,368.0
2024-01-02 00:00:00,3,1,1,False,False,Winter,12.8,0.38,Cloudy,False,,12,2169,24,25,10,4,4,7,308.74,8200.79,0.267,0.208,1,2,1,1,3.18,2.12,0.22,1.15,0.99,0.87,0.54,70.59,0.2,1.23,4.11,2024-01-02 03:00:00,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336,90.33,32825.49,1.0833,2.0,5.0,328.03
2024-01-02 00:00:00,4,1,1,False,False,Winter,17.4,0.53,Cloudy,False,,25,2169,39,39,15,6,7,11,339.03,12504.33,0.379,0.291,2,3,1,1,3.53,4.09,0.33,1.78,1.38,1.55,0.65,91.19,0.6,2.23,4.11,2024-01-02 04:00:00,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,90.0,32771.12,0.56,2.0,5.5714,320.62
2024-01-02 00:00:00,5,1,1,False,False,Winter,16.1,0.22,Cloudy,False,,39,2169,33,30,12,5,5,8,464.68,13242.36,0.302,0.233,1,2,1,1,3.31,2.16,0.26,1.45,0.97,0.95,0.52,74.25,0.8,0.8,4.08,2024-01-02 05:00:00,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,89.71,32812.9,-0.2308,2.0,6.0,441.41
2024-01-02 00:00:00,6,1,1,False,False,Winter,16.7,0.08,Cloudy,False,,30,2169,17,21,9,3,4,5,393.18,8140.31,0.238,0.164,1,2,1,1,2.73,2.27,0.19,1.09,1.02,0.5,0.34,60.13,1.6,2.18,4.24,2024-01-02 06:00:00,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,89.04,32494.59,-0.3,2.0,4.2,387.63
2024-01-02 00:00:00,7,1,1,False,False,Winter,19.5,0.27,Sunny,False,,21,2169,47,49,21,8,9,11,366.12,19022.59,0.541,0.387,2,3,1,1,5.21,3.86,0.55,1.91,2.14,1.47,0.91,120.9,2.8,1.59,3.99,2024-01-02 07:00:00,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,88.38,32490.93,1.3333,2.0,7.0,388.22
2024-01-02 00:00:00,8,1,1,False,False,Winter,20.4,0.15,Sunny,False,,49,2169,69,68,27,10,15,16,428.82,29315.87,0.746,0.608,2,4,2,1,6.06,5.14,0.66,3.56,1.76,2.14,1.8,150.08,2.5,2.2,4.04,2024-01-02 08:00:00,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,88.25,32213.54,0.3878,2.0,7.5556,431.12
2024-01-02 00:00:00,9,1,1,False,False,Winter,20.4,1.92,Sunny,False,,68,2169,60,63,27,11,13,12,446.55,28324.96,0.621,0.479,2,4,2,1,5.73,6.64,0.76,2.65,2.3,2.45,1.09,150.0,1.1,1.72,3.93,2024-01-02 09:00:00,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,86.79,31629.9,-0.0735,2.0,7.0,449.6
2024-01-02 00:00:00,10,1,1,False,False,Winter,21.6,1.43,Sunny,False,,63,2169,88,87,34,16,19,18,381.79,34472.32,0.984,0.786,3,5,2,2,9.31,5.71,1.3,4.8,2.45,3.34,2.44,224.58,0.9,1.37,3.95,2024-01-02 10:00:00,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,85.25,31408.0,0.381,2.0,7.25,396.23
2024-01-02 00:00:00,11,1,1,False,False,Winter,21.6,1.95,Cloudy,False,,87,2169,97,92,41,14,17,20,457.0,41722.57,0.932,0.695,3,6,2,2,8.14,6.33,1.06,3.92,4.4,2.51,2.18,201.45,1.2,2.03,3.47,2024-01-02 11:00:00,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,84.42,31326.7,0.0575,2.0,7.0769,453.51
2024-01-02 00:00:00,12,1,1,False,False,Winter,21.6,0.11,Sunny,False,,92,2169,115,115,49,16,24,26,330.38,40413.47,1.0,0.864,4,7,2,2,9.45,9.61,1.37,3.68,5.1,3.34,2.63,244.37,0.7,1.62,3.92,2024-01-02 12:00:00,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,78.33,29058.59,0.25,2.0,7.6667,351.42
2024-01-02 00:00:00,13,1,1,False,False,Winter,21.3,2.37,Cloudy,False,,115,2169,107,108,43,20,22,23,286.09,29197.86,1.0,0.926,4,6,2,2,8.82,7.68,1.04,5.42,2.75,2.38,2.92,216.25,0.2,0.98,3.98,2024-01-02 13:00:00,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,75.12,27249.89,-0.0609,2.0,7.7143,270.35
2024-01-02 00:00:00,14,1,1,False,False,Winter,21.1,1.54,Cloudy,True,,108,2169,124,119,48,22,22,27,367.87,46552.56,1.0,0.846,4,7,2,2,11.0,7.3,1.1,5.65,4.23,4.5,3.24,270.94,0.5,1.52,3.84,2024-01-02 14:00:00,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,74.21,26954.11,0.1019,2.0,7.9333,391.2
2024-01-02 00:00:00,15,1,1,False,False,Winter,18.5,1.17,Cloudy,True,,119,2169,77,66,27,10,15,14,486.43,30255.75,0.674,0.587,2,4,2,1,8.82,6.6,0.72,2.02,2.09,2.03,1.62,192.72,0.4,2.69,3.45,2024-01-02 15:00:00,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,74.58,27230.42,-0.4454,2.0,7.3333,458.42
2024-01-02 00:00:00,16,1,1,False,False,Winter,20.0,0.23,Cloudy,False,,66,2169,40,50,21,9,11,9,329.54,15187.83,0.563,0.368,2,3,1,1,6.62,4.49,0.61,2.5,1.47,1.91,1.06,148.29,0.6,0.59,4.11,2024-01-02 16:00:00,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,74.0,27015.06,-0.2424,2.0,7.1429,303.76
2024-01-02 00:00:00,17,1,1,False,False,Winter,19.8,0.1,Sunny,False,,50,2169,33,42,17,6,8,11,452.57,18390.93,0.428,0.347,2,3,1,1,5.03,4.49,0.55,1.53,1.08,1.06,1.0,113.76,0.1,1.69,4.16,2024-01-02 17:00:00,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,73.25,26725.81,-0.16,2.0,6.0,437.88
2024-01-02 00:00:00,18,1,1,False,False,Winter,19.7,0.14,Sunny,False,,42,2169,95,94,39,17,18,20,339.14,33506.79,1.0,0.822,3,6,2,2,9.05,8.41,0.99,3.08,4.51,2.14,2.75,218.41,0.7,1.63,3.83,2024-01-02 18:00:00,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,71.54,26456.14,1.2381,2.0,7.2308,356.46
2024-01-02 00:00:00,19,1,1,False,False,Winter,17.5,1.97,Sunny,False,,94,2169,152,144,64,21,27,32,333.09,51707.52,1.0,0.98,5,8,3,2,17.62,15.3,1.33,6.77,6.9,2.98,3.67,395.47,0.4,3.13,3.9,2024-01-02 19:00:00,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,69.08,25687.23,0.5319,2.0,8.0,359.08
2024-01-02 00:00:00,20,1,1,False,False,Winter,15.9,2.38,Cloudy,True,,144,2169,166,165,73,23,33,36,351.96,54547.8,1.0,0.98,5,10,3,3,16.56,15.88,1.4,6.51,6.35,5.91,3.26,402.06,1.2,1.82,4.01,2024-01-02 20:00:00,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,67.92,25513.86,0.1458,2.0,7.8571,330.59
2024-01-02 00:00:00,21,1,1,False,False,Winter,15.3,3.36,Cloudy,False,,165,2169,105,98,40,17,21,20,489.68,51705.52,0.984,0.851,3,6,2,2,10.32,9.49,0.95,3.26,3.32,2.52,1.91,237.29,0.3,0.83,3.66,2024-01-02 21:00:00,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,65.92,25343.76,-0.4061,2.0,7.5385,527.61
2024-01-02 00:00:00,22,1,1,False,False,Winter,14.5,0.58,Sunny,True,,98,2169,15,17,7,3,3,4,399.23,7198.6,0.173,0.154,1,2,1,1,1.99,1.16,0.25,0.63,0.83,0.56,0.41,45.78,0.9,0.85,4.25,2024-01-02 22:00:00,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,65.38,25125.53,-0.8265,2.0,3.4,423.45
2024-01-02 00:00:00,23,1,1,False,False,Winter,13.2,1.81,Sunny,True,,17,2169,12,11,5,2,2,2,544.72,5679.28,0.12,0.087,1,2,1,1,1.34,0.74,0.15,0.4,0.34,0.34,0.26,29.53,1.0,2.3,4.12,2024-01-02 23:00:00,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,64.92,25072.79,-0.3529,2.0,2.2,516.3
2024-01-03 00:00:00,0,2,1,False,False,Winter,13.1,2.64,Cloudy,True,,11,1558,24,17,7,2,3,5,387.92,6341.15,0.174,0.146,1,2,1,1,1.44,1.21,0.22,0.55,0.79,0.51,0.38,36.55,1.1,1.76,4.17,2024-01-03 00:00:00,0.0,1.0,0.9749279121818236,-0.22252093395631434,64.67,24932.91,0.5455,2.0,3.4,373.01
2024-01-03 00:00:00,1,2,1,False,False,Winter,15.2,0.37,Sunny,False,,17,1558,30,29,12,5,6,6,450.01,13753.99,0.31,0.248,1,2,1,1,3.4,2.83,0.26,1.64,1.36,0.6,0.79,77.25,0.2,2.04,4.13,2024-01-03 01:00:00,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,65.04,25158.38,0.7059,2.0,5.8,474.28
2024-01-03 00:00:00,2,2,1,False,False,Winter,15.1,2.14,Cloudy,False,,29,1558,6,7,2,1,1,3,431.64,2905.36,0.072,0.059,1,2,1,1,0.89,0.46,0.09,0.32,0.34,0.19,0.17,19.5,3.2,2.37,4.18,2024-01-03 02:00:00,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,64.83,25095.44,-0.7586,2.0,1.4,415.05
2024-01-03 00:00:00,3,2,1,False,False,Winter,14.5,0.43,Cloudy,False,,7,1558,23,25,10,4,5,6,290.98,7706.94,0.286,0.228,1,2,1,1,3.12,1.66,0.33,0.77,0.64,0.66,0.56,66.4,1.8,1.39,4.14,2024-01-03 03:00:00,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.22252093395631434,64.83,25074.86,2.5714,2.0,5.0,308.28
2024-01-03 00:00:00,4,2,1,False,False,Winter,13.8,0.21,Sunny,False,,25,1558,10,6,2,1,1,2,437.08,2527.34,0.056,0.054,1,2,1,1,0.64,0.64,0.07,0.29,0.21,0.15,0.18,15.38,0.6,1.3,4.25,2024-01-03 04:00:00,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,63.46,24659.15,-0.76,2.0,1.2,421.22
2024-01-03 00:00:00,5,2,1,False,False,Winter,15.1,2.4,Cloudy,False,,6,1558,36,33,12,7,7,7,465.02,16192.21,0.349,0.286,1,2,1,1,2.9,2.03,0.48,1.6,1.48,0.98,0.55,72.29,0.2,1.58,4.03,2024-01-03 05:00:00,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,63.58,24782.06,4.5,2.0,6.6,490.67
2024-01-03 00:00:00,6,2,1,False,False,Winter,17.9,0.08,Cloudy,False,,33,1558,5,12,5,1,2,4,282.79,3161.34,0.122,0.095,1,2,1,1,1.39,0.89,0.15,0.67,0.53,0.25,0.27,31.06,0.1,2.47,4.25,2024-01-03 06:00:00,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,63.21,24574.61,-0.6364,2.0,2.4,263.44
2024-01-03 00:00:00,7,2,1,False,False,Winter,19.0,1.16,Cloudy,True,,12,1558,65,58,21,10,13,14,316.14,17897.89,0.533,0.415,2,4,1,1,6.02,3.86,0.69,2.94,2.61,1.39,1.02,137.77,0.1,2.42,4.17,2024-01-03 07:00:00,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,63.58,24527.74,3.8333,2.0,7.25,308.58
2024-01-03 00:00:00,8,2,1,False,False,Winter,20.1,1.48,Sunny,True,,58,1558,80,74,32,11,16,15,314.19,24718.78,0.817,0.609,3,5,2,1,7.93,6.82,0.86,3.84,2.0,1.57,1.38,180.49,0.2,1.44,3.94,2024-01-03 08:00:00,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,63.83,24336.2,0.2759,2.0,6.7273,334.04
2024-01-03 00:00:00,9,2,1,False,False,Winter,21.6,1.29,Sunny,False,,74,1558,85,67,29,10,15,13,513.95,35262.88,0.717,0.502,2,4,2,1,5.65,4.12,0.66,2.94,3.13,2.31,1.75,144.22,0.7,2.27,3.61,2024-01-03 09:00:00,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,64.0,24625.28,-0.0946,2.0,7.4444,526.31
2024-01-03 00:00:00,10,2,1,False,False,Winter,21.8,0.69,Cloudy,True,,67,1558,115,112,50,21,21,20,363.76,41343.11,1.0,0.98,4,7,2,2,13.15,10.26,1.47,3.8,4.8,4.28,1.98,307.43,0.3,1.13,4.11,2024-01-03 10:00:00,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,65.04,24911.56,0.6716,2.0,7.4667,369.13
2024-01-03 00:00:00,11,2,1,False,False,Winter,21.8,0.34,Cloudy,False,,112,1558,103,104,43,17,21,23,319.25,32623.39,1.0,0.947,3,6,2,2,12.42,7.93,1.4,3.53,5.12,3.02,1.93,278.63,0.1,1.54,4.06,2024-01-03 11:00:00,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,65.54,24532.43,-0.0714,2.0,8.0,313.69
2024-01-03 00:00:00,12,2,1,False,False,Winter,23.5,0.68,Cloudy,False,,104,1558,124,120,52,18,21,29,288.8,35966.84,1.0,0.98,4,7,2,2,15.68,12.03,1.45,6.73,3.62,2.67,2.29,341.72,0.1,2.64,3.61,2024-01-03 12:00:00,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,65.75,24347.15,0.1538,2.0,8.0,299.72
2024-01-03 00:00:00,13,2,1,False,False,Winter,23.0,0.46,Cloudy,False,,120,1558,119,123,48,26,29,20,281.19,37086.61,1.0,0.98,4,7,3,2,13.2,10.55,1.4,6.15,3.5,2.53,2.41,297.38,1.5,1.85,3.9,2024-01-03 13:00:00,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,66.38,24675.85,0.025,2.0,7.6875,301.52
2024-01-03 00:00:00,14,2,1,False,False,Winter,20.5,2.43,Cloudy,False,,123,1558,104,101,45,19,20,17,399.32,41091.79,1.0,0.898,3,6,2,2,8.26,10.76,1.3,5.08,3.07,3.35,2.11,224.86,1.3,1.95,3.7,2024-01-03 14:00:00,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,65.62,24448.32,-0.1789,2.0,7.7692,406.85
2024-01-03 00:00:00,15,2,1,False,False,Winter,20.7,2.46,Cloudy,False,,101,1558,47,45,19,8,8,10,358.49,16564.63,0.491,0.394,2,3,1,1,5.75,3.68,0.62,1.51,1.74,0.91,0.89,122.94,0.5,2.01,4.23,2024-01-03 15:00:00,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,64.75,23877.86,-0.5545,2.0,6.4286,368.1
2024-01-03 00:00:00,16,2,1,False,False,Winter,18.5,0.33,Sunny,True,,45,1558,40,44,16,8,10,10,450.11,19689.16,0.491,0.346,2,3,1,1,4.89,3.69,0.36,1.77,1.52,1.23,1.04,110.08,0.9,2.03,3.96,2024-01-03 16:00:00,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,64.5,24065.41,-0.0222,2.0,6.2857,447.48
